0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
18, 15309, 4.1939, 4.0000, 0.0006, 0.0286, 8.8000, 0.3650, -633.5800, 1917.8577, 10.5000, 21.9167, 0.0001, 0.4036, 144.9256, 0.7958, 0.1572, 44.0000, 0.0436, 10.5816, 1.4335, 7.6464, 6.0000, 63.3189, 8.4000, 9.8723, 13.6336, 69.0009, 9.0000, 0.0123, 0.5636
19, 16781, 3.7210, 4.0000, 0.0004, 0.0345, 7.7000, 0.3433, -752.5600, 1971.9933, 11.0000, 25.8889, 0.0001, 0.4083, 179.1667, 0.7906, 0.1634, 51.0000, 0.0501, 10.7257, 1.4549, 7.7811, 5.0000, 57.4702, 8.6700, 11.6749, 14.4757, 55.8140, 10.0000, 0.0115, 0.5417
20, 18002, 3.8893, 4.0000, 0.0005, 0.0319, 7.3000, 0.3423, -616.8300, 1937.0118, 7.5000, 21.2857, 0.0001, 0.3677, 156.9199, 0.7861, 0.1660, 50.0000, 0.0428, 10.9266, 1.4463, 7.3893, 4.7000, 62.8723, 7.9000, 9.7779, 12.8096, 63.7268, 8.0000, 0.0153, 0.5226
21, 19571, 3.8953, 4.0000, 0.0003, 0.0340, 7.9000, 0.3285, -669.3200, 2076.5603, 7.5000, 23.0833, 0.0001, 0.3958, 154.3210, 0.7782, 0.1626, 51.0000, 0.0408, 10.8757, 1.5415, 7.9639, 4.8000, 52.9931, 7.5200, 11.6024, 14.4319, 64.8000, 14.0000, 0.0245, 0.5278
22, 21044, 3.7969, 4.0000, 0.0004, 0.0270, 7.3000, 0.4180, -744.5300, 2008.2535, 14.0000, 25.6000, 0.0001, 0.3887, 157.2090, 0.7873, 0.1659, 53.0000, 0.0468, 10.8585, 1.4531, 7.3008, 4.9000, 57.9166, 7.8300, 11.5409, 14.3025, 63.6096, 12.0000, 0.0190, 0.5283
23, 22415, 4.1460, 4.0000, 0.0006, 0.0233, 7.2000, 0.3723, -724.1600, 1582.9021, 10.5000, 24.9091, 0.0002, 0.3474, 145.7679, 0.7924, 0.1663, 49.0000, 0.0466, 10.9470, 1.5073, 7.3504, 4.9000, 54.0348, 8.4200, 11.9107, 14.6352, 68.6022, 9.0000, 0.0173, 0.5193
24, 23921, 4.1575, 4.0000, 0.0002, 0.0275, 7.0000, 0.3773, -721.7500, 2549.7599, 11.5000, 24.8182, 0.0001, 0.4417, 113.3739, 0.7890, 0.1677, 56.0000, 0.0440, 10.6540, 1.4176, 7.5531, 3.1000, 61.7171, 8.3300, 10.8166, 14.1764, 88.2037, 18.0000, 0.0151, 0.5548
1, 0, 3.8571, 5.0000, 0.0084, 0.0333, 19.4000, 0.1429, -747.9400, 1194.6354, 13.0000, 26.0000, 0.0026, 0.6296, 137.1742, 0.7778, 0.1389, 0.0000, 0.1222, 6.9360, 2.2857, 11.2857, 8.8000, 6.3586, 9.0200, 14.1114, 19.6308, 72.9000, 1.0000, 0.0444, 0.8148
2, 63, 3.9596, 4.0000, 0.0017, 0.0321, 6.7000, 0.3232, -770.6600, 1761.7437, 12.5000, 26.5000, 0.0005, 0.4455, 114.0496, 0.7314, 0.1655, 14.0000, 0.0811, 9.5640, 1.4545, 8.3939, 3.1000, 58.6592, 7.9700, 11.2261, 15.5057, 87.6812, 2.0000, 0.0709, 0.6455
3, 595, 4.3267, 4.0000, 0.0008, 0.0161, 5.9000, 0.3564, -735.8600, 2406.4557, 13.5000, 25.2500, 0.0003, 0.5429, 116.0998, 0.7674, 0.1735, 17.0000, 0.0537, 9.3026, 1.5941, 7.6832, 6.0000, 46.3488, 9.2500, 13.0674, 16.0406, 86.1328, 5.0000, 0.0429, 0.6857
