Atom No, Start Index, avg_internal_word_freq_class, average_word_length, sichels_s, punctuation_percentage, automated_readability_index, stopword_percentage, coleman_liau_index, honore_r_measure, linsear_write_formula, average_sentence_length, simpsons_d, hapax_legomena, yule_k_characteristic, alpha_chars_ratio, white_chars_ratio, syntactic_complexity, upper_chars_ratio, brunets_w, average_syllables_per_word, avg_external_word_freq_class, smog_index, flesch_reading_ease, dale_chall_readability_score, flesch_kincaid_grade, gunning_fog_index, yule_i, polysyllablcount, digit_chars_ratio, type_token_ratio
1, 0, 4.0000, 3.0000, 0.0001, 0.0000, 21.5000, 0.0000, -76325.9400, 1600.3850, 13.0000, 2579.0000, 0.0000, 0.0976, 269.5024, 0.7270, 0.1729, 1.0000, 0.0171, 15.2529, 1.5000, 15.0000, 19.3000, 79.9012, 132.9300, 2.1230, 1035.3603, 37.1054, 138.0000, 0.0041, 0.1822
2, 20, 4.1973, 4.0000, 0.0011, 0.0547, 11.9000, 0.2721, -862.7100, 1541.2155, 13.0000, 29.8000, 0.0003, 0.3636, 213.3581, 0.7948, 0.1416, 30.0000, 0.0221, 10.5956, 1.5170, 9.3673, 7.6000, 48.6552, 9.3200, 13.7767, 18.3630, 46.8696, 16.0000, 0.0052, 0.5325
3, 772, 3.8000, 2.0000, 0.0032, 0.0879, 4.1000, 0.2800, -2151.4200, 1164.5533, 22.5000, 73.0000, 0.0010, 0.3288, 409.0824, 0.6575, 0.1872, 3.0000, 0.0228, 9.9243, 1.3200, 7.8000, 8.8000, 69.7880, 9.4200, 9.7360, 31.3918, 24.4450, 2.0000, 0.0000, 0.5205
4, 865, 3.2109, 2.0000, 0.0010, 0.1217, 4.3000, 0.3047, -1552.5500, 1021.7184, 13.5000, 52.7500, 0.0004, 0.1564, 576.8065, 0.6244, 0.2053, 21.0000, 0.0150, 13.6026, 1.2031, 8.9609, 6.0000, 72.5706, 7.6700, 11.0869, 22.8062, 17.3368, 4.0000, 0.0000, 0.3081
5, 1278, 2.1552, 2.0000, 0.0018, 0.3763, 1.8000, 0.1207, -2299.7900, 1270.7067, 20.0000, 78.0000, 0.0012, 0.2949, 647.6003, 0.5500, 0.2300, 0.0000, 0.0100, 10.6294, 0.9828, 12.7759, 13.0000, 64.8236, 8.9200, 18.6266, 32.2256, 15.4416, 2.0000, 0.0000, 0.4487
6, 1373, 3.9890, 3.0000, 0.0012, 0.0601, 5.9000, 0.3846, -1112.9900, 1326.1356, 14.5000, 38.0000, 0.0005, 0.3304, 293.3837, 0.7495, 0.1736, 14.0000, 0.0154, 10.6666, 1.3956, 7.6484, 7.8000, 57.9785, 8.2700, 12.7081, 20.4632, 34.0851, 5.0000, 0.0000, 0.4957
7, 1758, 3.7647, 3.0000, 0.0009, 0.0901, 7.5000, 0.3412, -1041.8100, 1475.6302, 14.0000, 35.6667, 0.0004, 0.4167, 217.7641, 0.7574, 0.1633, 16.0000, 0.0091, 9.9966, 1.1529, 8.7529, 3.1000, 80.5378, 8.3300, 9.0647, 17.6312, 45.9213, 6.0000, 0.0000, 0.5741
8, 2082, 3.6575, 3.0000, 0.0002, 0.0881, 7.6000, 0.3076, -1325.7400, 1392.9969, 16.5000, 45.2500, 0.0001, 0.1757, 336.8515, 0.7265, 0.1657, 90.0000, 0.0086, 13.9364, 1.3278, 9.4622, 3.1000, 48.5737, 7.9700, 17.7256, 22.2252, 29.6867, 41.0000, 0.0014, 0.2917
9, 4172, 3.9352, 3.0000, 0.0008, 0.0929, 6.6000, 0.2963, -1052.9900, 1194.5063, 15.5000, 36.0000, 0.0002, 0.2455, 281.4050, 0.7336, 0.1685, 37.0000, 0.0335, 12.0303, 1.3241, 8.4074, 6.4000, 58.2783, 7.5000, 14.0741, 17.9185, 35.5360, 14.0000, 0.0025, 0.4091
10, 4981, 3.9244, 3.0000, 0.0013, 0.0677, 7.7000, 0.3025, -1747.2200, 1778.8960, 23.0000, 59.5000, 0.0004, 0.4167, 240.2778, 0.7530, 0.1614, 17.0000, 0.0100, 10.0859, 1.3782, 9.4874, 3.1000, 29.8509, 9.8800, 23.8772, 27.8336, 41.6185, 5.0000, 0.0080, 0.5750
