Atom No, Start Index, avg_internal_word_freq_class, average_word_length, sichels_s, punctuation_percentage, automated_readability_index, stopword_percentage, coleman_liau_index, honore_r_measure, linsear_write_formula, average_sentence_length, simpsons_d, hapax_legomena, yule_k_characteristic, alpha_chars_ratio, white_chars_ratio, syntactic_complexity, upper_chars_ratio, brunets_w, average_syllables_per_word, avg_external_word_freq_class, smog_index, flesch_reading_ease, dale_chall_readability_score, flesch_kincaid_grade, gunning_fog_index, yule_i, polysyllablcount, digit_chars_ratio, type_token_ratio
1, 0, 3.5000, 4.0000, 0.0037, 0.0000, 12.0000, 0.0000, -844.7400, 2272.9247, 12.5000, 29.0000, 0.0007, 0.8000, 66.6667, 0.7124, 0.1699, 0.0000, 0.1176, 6.8858, 1.0000, 15.5000, 3.1000, 120.2050, 9.2900, -3.0100, 18.4966, 150.0000, 0.0000, 0.0719, 0.9000
2, 17, 3.5814, 3.0000, 0.0050, 0.0392, 4.9000, 0.2558, -654.8800, 1607.2575, 8.5000, 22.5000, 0.0016, 0.6170, 81.4848, 0.6878, 0.1810, 5.0000, 0.1131, 7.8418, 1.4186, 7.9535, 3.1000, 64.9985, 7.7800, 9.5345, 14.3333, 122.7222, 0.0000, 0.0860, 0.8085
3, 224, 3.4344, 4.0000, 0.0010, 0.0171, 7.4000, 0.3934, -708.7900, 2188.4985, 14.0000, 24.4000, 0.0002, 0.5039, 142.6003, 0.7886, 0.1643, 20.0000, 0.0600, 9.6347, 1.5902, 6.8033, 5.7000, 47.5411, 9.3200, 12.6899, 16.6452, 70.1261, 6.0000, 0.0271, 0.6535
4, 927, 3.2909, 4.0000, 0.0004, 0.0243, 8.8000, 0.3879, -595.4100, 2741.0865, 11.5000, 20.6250, 0.0002, 0.5029, 158.3748, 0.7595, 0.1572, 26.0000, 0.0506, 10.0433, 1.6303, 6.8242, 5.1000, 47.9770, 8.8600, 11.6913, 15.0379, 63.1414, 11.0000, 0.0549, 0.6185
5, 1878, 3.6114, 4.0000, 0.0005, 0.0277, 8.6000, 0.3318, -609.7100, 2438.0687, 8.0000, 21.1000, 0.0001, 0.4364, 144.2149, 0.7804, 0.1584, 28.0000, 0.0645, 10.4938, 1.5735, 7.4171, 4.9000, 52.3038, 8.7700, 11.2058, 16.0229, 69.3410, 8.0000, 0.0327, 0.5682
6, 3074, 3.7207, 4.0000, 0.0009, 0.0284, 5.7000, 0.4302, -745.6500, 1482.1102, 10.5000, 25.5714, 0.0002, 0.4140, 130.0728, 0.7764, 0.1756, 38.0000, 0.0469, 10.2975, 1.3799, 6.2961, 6.2000, 64.1415, 7.7100, 10.6655, 14.4744, 76.8800, 5.0000, 0.0196, 0.5860
7, 3994, 3.8031, 4.0000, 0.0006, 0.0222, 7.5000, 0.3731, -802.5900, 2122.6184, 13.0000, 27.5714, 0.0002, 0.4874, 115.1486, 0.7969, 0.1644, 47.0000, 0.0572, 10.0769, 1.5492, 6.9948, 5.1000, 47.7858, 9.0500, 13.4437, 17.2462, 86.8443, 4.0000, 0.0166, 0.6231
8, 5080, 3.8000, 4.0000, 0.0008, 0.0175, 8.0000, 0.3667, -873.8600, 1909.6680, 11.0000, 30.0000, 0.0002, 0.4703, 98.7582, 0.8045, 0.1615, 40.0000, 0.0632, 9.9871, 1.6222, 7.1278, 3.1000, 39.1450, 9.4800, 15.2522, 19.7778, 101.2574, 10.0000, 0.0165, 0.6324
9, 6111, 3.6807, 4.0000, 0.0004, 0.0233, 7.3000, 0.3976, -969.4800, 2607.1138, 19.0000, 33.2000, 0.0002, 0.5088, 147.7378, 0.7767, 0.1656, 24.0000, 0.0367, 10.0284, 1.6084, 7.0120, 6.7000, 37.0635, 9.7200, 16.3375, 20.5089, 67.6875, 9.0000, 0.0344, 0.6199
10, 7014, 3.4545, 4.0000, 0.0006, 0.0339, 11.0000, 0.3007, -586.8400, 2656.5815, 8.5000, 20.4286, 0.0002, 0.5267, 187.5556, 0.7699, 0.1460, 21.0000, 0.0596, 9.8286, 1.6643, 6.8531, 6.9000, 45.2972, 8.9700, 12.0163, 16.2833, 53.3175, 8.0000, 0.0502, 0.6400
11, 7873, 3.5590, 4.0000, 0.0009, 0.0227, 8.6000, 0.3106, -779.3300, 1915.2986, 15.0000, 26.8333, 0.0002, 0.4551, 140.5572, 0.7849, 0.1578, 23.0000, 0.0757, 10.0749, 1.6398, 6.9938, 3.1000, 40.8762, 9.1300, 14.2241, 18.9321, 71.1454, 10.0000, 0.0346, 0.6108
12, 8801, 3.9821, 5.0000, 0.0004, 0.0222, 10.8000, 0.3500, -903.3100, 2239.4677, 12.0000, 31.1111, 0.0001, 0.4464, 139.1267, 0.8279, 0.1475, 49.0000, 0.0304, 10.4566, 1.7036, 7.3214, 6.4000, 31.1351, 10.1000, 16.6455, 21.4444, 71.8769, 25.0000, 0.0023, 0.5813
13, 10512, 3.9171, 4.0000, 0.0005, 0.0197, 7.8000, 0.3410, -1056.7000, 2185.5833, 14.0000, 36.1667, 0.0001, 0.4664, 152.4261, 0.7846, 0.1630, 41.0000, 0.0467, 10.2338, 1.6037, 7.3687, 3.1000, 34.4539, 9.4000, 17.4385, 21.2869, 65.6055, 9.0000, 0.0328, 0.6054
14, 11736, 3.7358, 4.0000, 0.0009, 0.0189, 9.4000, 0.3836, -768.5700, 1969.0743, 15.0000, 26.5000, 0.0002, 0.4727, 129.2929, 0.8050, 0.1541, 33.0000, 0.0335, 9.9435, 1.7044, 6.5975, 7.2000, 35.7450, 9.3500, 14.8569, 18.6503, 77.3438, 12.0000, 0.0220, 0.6303
